participant,pos,type,H,C,N,O,-
23,T,pre,0,0.1875,0,0.5,-
23,L,pre,0,0.6,0,-,0.75
23,B,pre,0,0.5833333,0.16666667,0.5,0.75
23,R,pre,0,0.375,0.16666667,1,-
23,T,post,1,0.375,0.5,0.5,-
23,L,post,1,0.6,0,-,1
23,B,post,0.75,0.8333333,0.16666667,0.5,1
23,R,post,1,0.5,0.33333334,0.875,-
24,T,pre,0.625,0.5,0,0,-
24,L,pre,1,0.8,0,-,0.875
24,B,pre,0.25,0.25,0.16666667,0,0.5
24,R,pre,1,0.625,0.33333334,0.625,-
24,T,post,1,0.75,0,1,-
24,L,post,1,0.5,0.5,-,0.875
24,B,post,1,0.6666667,0.5,0.5,0.5
24,R,post,1,1,0.33333334,1,-
25,T,pre,0.875,0.8125,0.5,1,-
25,L,pre,0.875,0.6,0,-,0.875
25,B,pre,0.75,0.75,0.6666667,0.5,1
25,R,pre,1,0.875,0.5,0.875,-
25,T,post,1,0.75,1,1,-
25,L,post,1,0.5,0.5,-,1
25,B,post,0.75,0.6666667,0,0.5,1
25,R,post,1,0.625,0.33333334,1,-
26,T,pre,0.125,0.25,0.5,0.5,-
26,L,pre,0.75,0.2,0.5,-,1
26,B,pre,0.75,0.33333334,0.33333334,0.5,1
26,R,pre,0.8333333,0.5,0.8333333,0.875,-
26,T,post,0.625,0.6875,1,0.5,-
26,L,post,0.875,0.6,0.5,-,1
26,B,post,0.75,0.75,0.8333333,0,1
26,R,post,0.8333333,0.75,0.6666667,0.625,-
27,T,pre,0,0.125,1,0.5,-
27,L,pre,0.375,0.1,0.5,-,0.75
27,B,pre,0,0.16666667,0.6666667,0.5,0.25
27,R,pre,0.16666667,0,0.8333333,0.375,-
27,T,post,0.25,0.5,1,1,-
27,L,post,0.75,0.3,0,-,1
27,B,post,0.5,0.75,0.5,1,0.5
27,R,post,0.5,0.375,0.5,0.75,-
